Subject     Trial   ss  tid     RT   resp  Error
1            1   32    1   14176      3     1
1            2   16    1   4704      3     1
1            3   32    2   12344      3     1
1            4   32    1   1985      1     0
1            5   16    1   1885      1     0
1            6   32    1   11426      3     1
1            7   32    1   7623      1     0
1            8   16    2   3153      3     1
1            9   32    2   1852      3     1
1           10   16    2   4371      3     1
Subject     Trial   ss  tid     RT   resp  Error
1            1   32    1   4927      1     0
1            2   16    1   3219      2     1
1            3   16    2   2303      2     0
1            4   32    1   4187      2     1
1            5   16    2   2370      1     1
1            6   32    1   5638      2     1
1            7   32    2   2886      2     0
1            8   16    2   5788      3     1
Subject     Trial   ss  tid     RT   resp  Error
1            1   16    2   3329      2     0
1            2   32    1   1467      2     1
1            3   16    1   1886      2     1
1            4   16    1    717      2     1
1            5   32    2    418      3     1
